Value,N,P,K,temperature,humidity,ph,rainfall,label
14137300.0,91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,Banana
14137300.0,105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,Banana
14137300.0,108,92,53,27.40053601,82.96221306,6.276800323,104.9378,Banana
14137300.0,86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,Banana
14137300.0,80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,Banana
14137300.0,93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,Banana
14137300.0,90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,Banana
14137300.0,108,89,53,29.55054817,78.06762846,5.808497603999999,99.34482238,Banana
14137300.0,108,88,55,26.28845991,83.390039,5.891458107,113.8729798,Banana
14137300.0,105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,Banana
14137300.0,118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,Banana
14137300.0,101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,Banana
14137300.0,95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,Banana
14137300.0,106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,Banana
14137300.0,86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,Banana
14137300.0,83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,Banana
14137300.0,85,95,47,25.94019018,78.3422098,6.211833161,119.84797,Banana
14137300.0,109,79,45,27.66752761,79.68542782,6.490074429,108.66464,Banana
14137300.0,100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,Banana
14137300.0,117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,Banana
14137300.0,114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,Banana
14137300.0,110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,Banana
14137300.0,94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,Banana
14137300.0,80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,Banana
14137300.0,114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,Banana
14137300.0,88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,Banana
14137300.0,112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,Banana
14137300.0,117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,Banana
14137300.0,111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,Banana
14137300.0,89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,Banana
14137300.0,93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,Banana
14137300.0,92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,Banana
14137300.0,105,74,45,25.14517635,81.38204104,6.098369122,119.218154,Banana
14137300.0,102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,Banana
14137300.0,94,91,51,29.16093424,76.67484233,5.6180944460000015,109.575944,Banana
14137300.0,116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,Banana
14137300.0,117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,Banana
14137300.0,119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,Banana
14137300.0,99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,Banana
14137300.0,91,84,52,29.14827211,78.71024836,6.390741836,117.536781,Banana
14137300.0,80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,Banana
14137300.0,101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,Banana
14137300.0,108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,Banana
14137300.0,100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,Banana
14137300.0,109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,Banana
